source,target,type,relationship
MS3.1,g3,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g15,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g12,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g46,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g3,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g21,directed,glyph
MS3.1,g4,directed,glyph
MS3.1,g5,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,l5,directed,glyph
MS3.1,g4,directed,glyph
