source,target,type,relationship
MS1.6,http://www.dil.ie/15847,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/24329,directed,word
MS1.6,http://www.dil.ie/24329,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/24329,directed,word
MS1.6,http://www.dil.ie/3887,directed,word
MS1.6,http://www.dil.ie/33364,directed,word
MS1.6,http://www.dil.ie/28194,directed,word
MS1.6,http://www.dil.ie/42968,directed,word
MS1.6,http://www.dil.ie/3902,directed,word
MS1.6,http://www.dil.ie/13717,directed,word
MS1.6,http://www.dil.ie/8908,directed,word
MS1.6,http://www.dil.ie/14084,directed,word
MS1.6,http://www.dil.ie/14787,directed,word
MS1.6,http://www.dil.ie/26897,directed,word
MS1.6,http://www.dil.ie/17788,directed,word
MS1.6,http://www.dil.ie/3902,directed,word
MS1.6,http://www.dil.ie/4041,directed,word
MS1.6,http://www.dil.ie/9787,directed,word
MS1.6,http://www.dil.ie/10455,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/3902,directed,word
MS1.6,http://www.dil.ie/3,directed,word
MS1.6,http://www.dil.ie/4041,directed,word
MS1.6,http://www.dil.ie/8562,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/3853,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/31166,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/31166,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/14080,directed,word
MS1.6,http://www.dil.ie/31166,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/31438,directed,word
MS1.6,http://www.dil.ie/42968,directed,word
MS1.6,http://www.dil.ie/26891,directed,word
MS1.6,http://www.dil.ie/21911,directed,word
MS1.6,http://www.dil.ie/26891,directed,word
MS1.7,http://www.dil.ie/26891,directed,word
MS1.7,http://www.dil.ie/39303,directed,word
MS1.7,http://www.dil.ie/17098,directed,word
MS1.7,http://www.dil.ie/17216,directed,word
MS1.7,http://www.dil.ie/17096,directed,word
MS1.8,http://www.dil.ie/23272,directed,word
MS1.8,http://www.dil.ie/13406,directed,word
MS1.8,http://www.dil.ie/7528,directed,word
MS1.8,http://www.dil.ie/19139,directed,word
MS1.8,http://www.dil.ie/26891,directed,word
MS1.8,http://www.dil.ie/4927,directed,word
MS1.8,http://www.dil.ie/3902,directed,word
MS1.8,http://www.dil.ie/28194,directed,word
MS1.8,http://www.dil.ie/9787,directed,word
MS1.8,http://www.dil.ie/30091,directed,word
MS1.8,http://www.dil.ie/3913,directed,word
MS1.8,http://www.dil.ie/17216,directed,word
MS1.8,http://www.dil.ie/5661,directed,word
MS1.8,http://www.dil.ie/23272,directed,word
MS1.8,http://www.dil.ie/1402,directed,word
MS1.8,http://www.dil.ie/28194,directed,word
MS1.8,http://www.dil.ie/35364,directed,word
MS1.8,http://www.dil.ie/14069,directed,word
MS1.8,http://www.dil.ie/36636,directed,word
MS2.1,http://www.dil.ie/1364,directed,word
MS2.1,http://www.dil.ie/15847,directed,word
MS2.1,http://www.dil.ie/17096,directed,word
MS2.1,http://www.dil.ie/16570,directed,word
MS2.1,http://www.dil.ie/22333,directed,word
MS2.1,http://www.dil.ie/7832,directed,word
MS2.1,http://www.dil.ie/9397,directed,word
MS2.1,http://www.dil.ie/247,directed,word
MS2.1,http://www.dil.ie/391,directed,word
MS2.1,http://www.dil.ie/36788,directed,word
MS2.1,http://www.dil.ie/2515,directed,word
MS2.1,http://www.dil.ie/14787,directed,word
MS2.1,http://www.dil.ie/33925,directed,word
MS2.1,http://www.dil.ie/37981,directed,word
MS2.1,http://www.dil.ie/32908,directed,word
MS2.1,http://www.dil.ie/5813,directed,word
MS2.1,http://www.dil.ie/36788,directed,word
MS2.1,http://www.dil.ie/26891,directed,word
MS2.1,http://www.dil.ie/28194,directed,word
MS2.1,http://www.dil.ie/34833,directed,word
MS2.1,http://www.dil.ie/29233,directed,word
MS2.1,http://www.dil.ie/36788,directed,word
MS2.1,http://www.dil.ie/9324,directed,word
MS2.1,http://www.dil.ie/9324,directed,word
MS2.1,http://www.dil.ie/28194,directed,word
MS2.1,http://www.dil.ie/8562,directed,word
MS2.1,http://www.dil.ie/8562,directed,word
MS2.1,http://www.dil.ie/17096,directed,word
MS2.1,http://www.dil.ie/10201,directed,word
MS2.1,http://www.dil.ie/34047,directed,word
MS2.1,http://www.dil.ie/32400,directed,word
MS2.1,http://www.dil.ie/8622,directed,word
MS2.1,http://www.dil.ie/36788,directed,word
MS2.1,http://www.dil.ie/37625,directed,word
MS2.1,http://www.dil.ie/36788,directed,word
MS2.1,http://www.dil.ie/37981,directed,word
MS2.1,http://www.dil.ie/32909,directed,word
MS2.1,http://www.dil.ie/32253,directed,word
MS2.1,http://www.dil.ie/31705,directed,word
MS2.1,http://www.dil.ie/41608,directed,word
MS2.1,http://www.dil.ie/36788,directed,word
MS2.1,http://www.dil.ie/36454,directed,word
MS2.1,http://www.dil.ie/3902,directed,word
